message,label,reason,domain,language
"Aapka ATM card block ho gaya hai, details update kare abhi kare",scam,"Urgency, reward or suspicious instruction",government,Hinglish
Your train ticket has been booked successfully abhi kare,legit,Normal transactional message,finance,Hinglish
"You are selected for instant loan approval, click to proceed please act now",scam,"Urgency, reward or suspicious instruction",ecommerce,Hinglish
Thank you for your purchase abhi kare,legit,Normal transactional message,banking,Hinglish
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें immediately",scam,"Urgency, reward or suspicious instruction",telecom,Hinglish
Your order has been shipped and will arrive tomorrow,legit,Normal transactional message,government,Hindi
"Aapka parcel customs me atka hai, ₹35 pay karke release kare immediately",scam,"Urgency, reward or suspicious instruction",finance,Hindi
Your payment of ₹899 has been received abhi kare,legit,Normal transactional message,ecommerce,English
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें",scam,"Urgency, reward or suspicious instruction",banking,Hinglish
Your parcel has been delivered successfully please act now,legit,Normal transactional message,telecom,Hindi
"Aapka ATM card block ho gaya hai, details update kare abhi kare",scam,"Urgency, reward or suspicious instruction",finance,Hinglish
Your train ticket has been booked successfully,legit,Normal transactional message,finance,Hindi
"You are selected for instant loan approval, click to proceed please act now",scam,"Urgency, reward or suspicious instruction",government,English
Thank you for your purchase jaldi kare,legit,Normal transactional message,ecommerce,Hinglish
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें",scam,"Urgency, reward or suspicious instruction",government,Hinglish
Your order has been shipped and will arrive tomorrow,legit,Normal transactional message,finance,Hindi
"Aapka parcel customs me atka hai, ₹35 pay karke release kare please act now",scam,"Urgency, reward or suspicious instruction",ecommerce,Hindi
Your payment of ₹899 has been received jaldi kare,legit,Normal transactional message,finance,English
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें abhi kare",scam,"Urgency, reward or suspicious instruction",telecom,English
Your parcel has been delivered successfully immediately,legit,Normal transactional message,ecommerce,Hinglish
"Aapka ATM card block ho gaya hai, details update kare immediately",scam,"Urgency, reward or suspicious instruction",ecommerce,Hindi
Your train ticket has been booked successfully abhi kare,legit,Normal transactional message,banking,Hindi
"You are selected for instant loan approval, click to proceed jaldi kare",scam,"Urgency, reward or suspicious instruction",telecom,Hinglish
Thank you for your purchase jaldi kare,legit,Normal transactional message,banking,English
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें jaldi kare",scam,"Urgency, reward or suspicious instruction",finance,Hindi
Your order has been shipped and will arrive tomorrow jaldi kare,legit,Normal transactional message,banking,Hinglish
"Aapka parcel customs me atka hai, ₹35 pay karke release kare",scam,"Urgency, reward or suspicious instruction",ecommerce,English
Your payment of ₹899 has been received,legit,Normal transactional message,banking,Hindi
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें",scam,"Urgency, reward or suspicious instruction",ecommerce,English
Your parcel has been delivered successfully jaldi kare,legit,Normal transactional message,finance,Hinglish
"Aapka ATM card block ho gaya hai, details update kare jaldi kare",scam,"Urgency, reward or suspicious instruction",banking,English
Your train ticket has been booked successfully immediately,legit,Normal transactional message,government,Hindi
"You are selected for instant loan approval, click to proceed",scam,"Urgency, reward or suspicious instruction",utilities,Hinglish
Thank you for your purchase please act now,legit,Normal transactional message,ecommerce,Hinglish
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें abhi kare",scam,"Urgency, reward or suspicious instruction",finance,Hindi
Your order has been shipped and will arrive tomorrow abhi kare,legit,Normal transactional message,banking,Hindi
"Aapka parcel customs me atka hai, ₹35 pay karke release kare",scam,"Urgency, reward or suspicious instruction",government,Hinglish
Your payment of ₹899 has been received,legit,Normal transactional message,banking,Hindi
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें jaldi kare",scam,"Urgency, reward or suspicious instruction",banking,Hindi
Your parcel has been delivered successfully,legit,Normal transactional message,utilities,Hindi
"Aapka ATM card block ho gaya hai, details update kare jaldi kare",scam,"Urgency, reward or suspicious instruction",banking,Hinglish
Your train ticket has been booked successfully immediately,legit,Normal transactional message,government,English
"You are selected for instant loan approval, click to proceed immediately",scam,"Urgency, reward or suspicious instruction",utilities,Hindi
Thank you for your purchase abhi kare,legit,Normal transactional message,ecommerce,English
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें jaldi kare",scam,"Urgency, reward or suspicious instruction",telecom,Hindi
Your order has been shipped and will arrive tomorrow jaldi kare,legit,Normal transactional message,banking,Hinglish
"Aapka parcel customs me atka hai, ₹35 pay karke release kare immediately",scam,"Urgency, reward or suspicious instruction",telecom,Hindi
Your payment of ₹899 has been received,legit,Normal transactional message,government,Hinglish
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें",scam,"Urgency, reward or suspicious instruction",ecommerce,Hindi
Your parcel has been delivered successfully please act now,legit,Normal transactional message,government,Hinglish
"Aapka ATM card block ho gaya hai, details update kare",scam,"Urgency, reward or suspicious instruction",government,Hinglish
Your train ticket has been booked successfully jaldi kare,legit,Normal transactional message,ecommerce,Hinglish
"You are selected for instant loan approval, click to proceed",scam,"Urgency, reward or suspicious instruction",banking,Hinglish
Thank you for your purchase immediately,legit,Normal transactional message,telecom,English
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें abhi kare",scam,"Urgency, reward or suspicious instruction",utilities,English
Your order has been shipped and will arrive tomorrow jaldi kare,legit,Normal transactional message,banking,English
"Aapka parcel customs me atka hai, ₹35 pay karke release kare immediately",scam,"Urgency, reward or suspicious instruction",utilities,English
Your payment of ₹899 has been received please act now,legit,Normal transactional message,finance,Hindi
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें please act now",scam,"Urgency, reward or suspicious instruction",utilities,English
Your parcel has been delivered successfully jaldi kare,legit,Normal transactional message,ecommerce,Hindi
"Aapka ATM card block ho gaya hai, details update kare immediately",scam,"Urgency, reward or suspicious instruction",telecom,English
Your train ticket has been booked successfully abhi kare,legit,Normal transactional message,government,English
"You are selected for instant loan approval, click to proceed please act now",scam,"Urgency, reward or suspicious instruction",ecommerce,Hindi
Thank you for your purchase immediately,legit,Normal transactional message,ecommerce,Hinglish
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें",scam,"Urgency, reward or suspicious instruction",banking,English
Your order has been shipped and will arrive tomorrow please act now,legit,Normal transactional message,utilities,English
"Aapka parcel customs me atka hai, ₹35 pay karke release kare immediately",scam,"Urgency, reward or suspicious instruction",telecom,English
Your payment of ₹899 has been received immediately,legit,Normal transactional message,ecommerce,Hinglish
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें jaldi kare",scam,"Urgency, reward or suspicious instruction",telecom,English
Your parcel has been delivered successfully immediately,legit,Normal transactional message,government,Hinglish
"Aapka ATM card block ho gaya hai, details update kare please act now",scam,"Urgency, reward or suspicious instruction",ecommerce,Hindi
Your train ticket has been booked successfully jaldi kare,legit,Normal transactional message,telecom,English
"You are selected for instant loan approval, click to proceed immediately",scam,"Urgency, reward or suspicious instruction",ecommerce,English
Thank you for your purchase abhi kare,legit,Normal transactional message,government,English
"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें immediately",scam,"Urgency, reward or suspicious instruction",government,Hindi
Your order has been shipped and will arrive tomorrow abhi kare,legit,Normal transactional message,government,Hinglish
"Aapka parcel customs me atka hai, ₹35 pay karke release kare jaldi kare",scam,"Urgency, reward or suspicious instruction",banking,Hinglish
Your payment of ₹899 has been received,legit,Normal transactional message,telecom,Hinglish
"आपका KYC पूरा नहीं है, तुरंत अपडेट करें immediately",scam,"Urgency, reward or suspicious instruction",ecommerce,English
Your parcel has been delivered successfully please act now,legit,Normal transactional message,telecom,Hindi
"Aapka ATM card block ho gaya hai, details update kare immediately",scam,"Urgency, reward or suspicious instruction",government,English
Your train ticket has been booked successfully jaldi kare,legit,Normal transactional message,ecommerce,Hinglish
"You are selected for instant loan approval, click to proceed",scam,"Urgency, reward or suspicious instruction",finance,English
Thank you for your purchase immediately,legit,Normal transactional message,government,Hindi
