id,text,language,scam_or_safe,scam_type,source,indicators,split
ss-000027,पार्सल कस्टम्स मध्ये अडकले. ₹35 http://verify-kyc.example.in/update वर भरा.,mr,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,test
ss-000028,"Aapka parcel customs me atka hai, ₹35 pay karke release kare please act now",hi,scam,delivery,hf_karanverma19,delivery,train
ss-000029,मी तुझा मित्र. वॉलेट चोरीला. या UPI वर पैसे पाठव.,mr,scam,social_impersonation,synthetic_scamshield,social_impersonation|payment_request|urgency,train
ss-000030,बिना कागज़ लोन। पहले GST http://verify-kyc.example.in/update पर चुकाएँ।,hi,scam,loan,synthetic_scamshield,loan_offer|payment_request|suspicious_url|urgency,train
ss-000031,Your SBI debit card is blocked. Share OTP and login at http://192.0.2.10/login to unblock.,en,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000032,Paytm वर पैसे अडकले आहेत. UPI पिन http://verify-kyc.example.in/update वर टाका.,mr,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,validation
ss-000033,Your Axis KYC is pending. Update now at http://verify-kyc.example.in/update or your account will be frozen today.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000034,"UPI collect request approve karo http://verify-kyc.example.in/update pe, warna paise kat jayenge.",hinglish,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000035,SBI अधिकृत संदेश: पिन शेअर करा आणि http://verify-kyc.example.in/update उघडा.,mr,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000036,ICICI security: unusual login detected. Confirm PIN on http://192.0.2.10/login within 10 minutes.,en,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,test
ss-000037,Aapke account me 1 rupee pending hai Google Pay. http://verify-kyc.example.in/update pe pay karke 25000 claim karo.,hinglish,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000038,You are pre-approved for an instant loan. Click http://verify-kyc.example.in/update and pay processing fee.,en,scam,loan,synthetic_scamshield,loan_offer|payment_request|suspicious_url|urgency,train
ss-000039,"Axis: Rs.1,200.50 debited from a/c XX47 on 12-Aug at POS. If not you, use official Axis app.",en,safe,safe,synthetic_scamshield,none,train
ss-000040,Your ICICI KYC is pending. Update now at http://192.0.2.10/login or your account will be frozen today.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000041,Collect cashback on PhonePe: enter UPI PIN at http://192.0.2.10/login now.,en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000042,पुस्तकें पुस्तकालय में जमा कर दो।,hi,safe,safe,synthetic_scamshield,none,train
ss-000043,Urgent: complete ICICI video KYC on http://verify-kyc.example.in/update to keep UPI active.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,test
ss-000044,Flipkart mega win. Pay Rs 99 delivery for your iPhone at http://192.0.2.10/login.,en,scam,lottery,synthetic_scamshield,prize_lottery|payment_request|urgency,train
ss-000045,Salary for August credited. Download payslip from the HR portal.,en,safe,safe,synthetic_scamshield,none,validation
ss-000046,"माँ, मैं होस्टल पहुँच गया। शाम को फोन करूँगा।",hi,safe,safe,synthetic_scamshield,none,train
ss-000047,You won a KBC prize of Rs 25 lakh. Pay processing tax at http://192.0.2.10/login.,en,scam,lottery,synthetic_scamshield,prize_lottery|payment_request|urgency,validation
ss-000048,तुरंत HDFC केवाईसी पूरा करें वरना आपका खाता ब्लॉक हो जाएगा http://verify-kyc.example.in/update,hi,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000049,Urgent: complete HDFC video KYC on http://192.0.2.10/login to keep UPI active.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000050,Collect cashback on Google Pay: enter UPI PIN at http://verify-kyc.example.in/update now.,en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,test
ss-000051,"SBI helpline se call hai, ATM PIN verify karna hai abhi.",hinglish,scam,customer_care,synthetic_scamshield,customer_care|otp_request|bank_impersonation,train
ss-000052,Your Paytm payment of Rs 1 failed. Pay the remaining Rs 1 on http://verify-kyc.example.in/update to receive a refund.,en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,test
ss-000053,"OTP [OTP] hai login ke liye, share mat karna.",hinglish,safe,safe,synthetic_scamshield,none,train
ss-000054,SBI KYC pending hai. Jaldi http://192.0.2.10/login pe update karo warna account band ho jayega.,hinglish,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000055,"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें abhi kare",hi,scam,bank_impersonation,hf_karanverma19,urgency|bank_impersonation,train
ss-000056,Axis आधिकारिक ऐप से ही बैंकिंग करें। कॉल पर पिन न बताएँ।,hi,safe,safe,synthetic_scamshield,none,train
ss-000057,पार्सल कस्टम में अटका है। ₹35 http://verify-kyc.example.in/update पर दें।,hi,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,test
ss-000058,"आई, घरची भाजी आली. पैसे पाठवू नकोस.",mr,safe,safe,synthetic_scamshield,none,train
ss-000059,Your payment of ₹899 has been received,hinglish,safe,safe,hf_karanverma19,none,train
ss-000060,"Aapka ATM card block ho gaya hai, details update kare abhi kare",hinglish,scam,bank_impersonation,hf_karanverma19,bank_impersonation,test
ss-000061,Your ICICI KYC is pending. Update now at http://verify-kyc.example.in/update or your account will be frozen today.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000062,"Investment plan 40 percent return, jaldi http://192.0.2.10/login pe join karo.",hinglish,scam,investment,synthetic_scamshield,investment_return|payment_request|urgency,train
ss-000063,Your Aadhaar is suspended. Re-verify at http://verify-kyc.example.in/update.,en,scam,phishing,synthetic_scamshield,suspicious_url|urgency|sensitive_info_request,train
ss-000064,"SBI KYC already complete hai. Koi link mat kholna, OTP mat dena.",hinglish,safe,safe,synthetic_scamshield,none,test
ss-000065,"आपका KYC पूरा नहीं है, तुरंत अपडेट करें",hinglish,scam,kyc,hf_karanverma19,urgency|kyc_language|kyc,validation
ss-000066,HDFC आधिकारिक ऐप से ही बैंकिंग करें। कॉल पर पिन न बताएँ।,hi,safe,safe,synthetic_scamshield,none,train
ss-000067,Urgent: complete ICICI video KYC on http://192.0.2.10/login to keep UPI active.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000068,"ICICI: UPI is active. Do not share UPI PIN with anyone, including people claiming to be staff.",en,safe,safe,synthetic_scamshield,none,train
ss-000069,Google Pay वर पैसे अडकले आहेत. UPI पिन http://192.0.2.10/login वर टाका.,mr,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,test
ss-000070,Paytm रिफंड अटका है। http://192.0.2.10/login पर पिन डालकर पाएं।,hi,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,validation
ss-000071,Paytm रिफंड अटका है। http://verify-kyc.example.in/update पर पिन डालकर पाएं।,hi,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000072,"SBI se call aayega mat sochna, ATM PIN bata dena. Pehle http://verify-kyc.example.in/update pe verify karo.",hinglish,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000073,ICICI security: unusual login detected. Confirm PIN on http://verify-kyc.example.in/update within 10 minutes.,en,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,validation
ss-000074,ICICI खाते ब्लॉक होणार आहे. OTP http://verify-kyc.example.in/update वर द्या.,mr,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000075,आपको PhonePe पर ₹25000 मिले हैं। क्रेडिट के लिए UPI पिन http://verify-kyc.example.in/update पर दर्ज करें।,hi,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000076,"PhonePe se refund aaya hai, UPI PIN http://verify-kyc.example.in/update pe daalo warna cancel ho jayega.",hinglish,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000077,पार्सल कस्टम में अटका है। ₹35 http://192.0.2.10/login पर दें।,hi,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,train
ss-000078,Your parcel is stuck in customs. Pay Rs 35 at http://verify-kyc.example.in/update to release.,en,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,test
ss-000079,डॉक्टर का अपॉइंटमेंट सुबह 10 बजे है।,hi,safe,safe,synthetic_scamshield,none,train
ss-000080,Collect cashback on PhonePe: enter UPI PIN at http://verify-kyc.example.in/update now.,en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,test
ss-000081,तुमचे Axis KYC कालबाह्य झाले आहे. खाते ब्लॉक होण्यापूर्वी http://verify-kyc.example.in/update उघडा.,mr,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,test
ss-000082,IRCTC: ticket booked successfully. Show this SMS at boarding.,en,safe,safe,synthetic_scamshield,none,train
ss-000083,"HDFC se call aayega mat sochna, ATM PIN bata dena. Pehle http://verify-kyc.example.in/update pe verify karo.",hinglish,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000084,"Dear customer, your Axis KYC has expired. Click http://192.0.2.10/login immediately to prevent account blocking.",en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,validation
ss-000085,Instagram: your account will be deleted. Login at http://verify-kyc.example.in/update to verify.,en,scam,social_impersonation,synthetic_scamshield,social_impersonation|payment_request|urgency,train
ss-000086,Kal college 9 baje milte hain.,hinglish,safe,safe,synthetic_scamshield,none,train
ss-000087,"Aapka parcel customs me atka hai, Rs 35 pay karke release kare http://verify-kyc.example.in/update",hinglish,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,train
ss-000088,Axis KYC pending hai. Jaldi http://verify-kyc.example.in/update pe update karo warna account band ho jayega.,hinglish,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000089,"SBI व्हिडिओ केवायसी http://verify-kyc.example.in/update वर पूर्ण करा, नाहीतर यूपीआय बंद होईल.",mr,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,validation
ss-000090,"आपका KYC पूरा नहीं है, तुरंत अपडेट करें abhi kare",en,scam,kyc,hf_karanverma19,urgency|kyc_language|kyc,validation
ss-000091,"SBI: UPI is active. Do not share UPI PIN with anyone, including people claiming to be staff.",en,safe,safe,synthetic_scamshield,none,test
ss-000092,"You received Rs 50,000. Confirm UPI PIN on http://192.0.2.10/login to credit your Paytm wallet.",en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,validation
ss-000093,आपका ICICI कार्ड ब्लॉक है। अनब्लॉक करने हेतु http://192.0.2.10/login खोलें।,hi,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000094,क्रिप्टो ग्रुप: 24 तासात डबल. http://verify-kyc.example.in/update वर पैसे टाका.,mr,scam,investment,synthetic_scamshield,investment_return|payment_request|urgency,test
ss-000095,Your HDFC KYC is pending. Update now at http://verify-kyc.example.in/update or your account will be frozen today.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000096,Axis KYC पूर्ण आहे. लिंक उघडू नका. OTP देऊ नका.,mr,safe,safe,synthetic_scamshield,none,validation
ss-000097,"WFH job mili hai 1500 roz, pehle 499 http://192.0.2.10/login pe pay karo.",hinglish,scam,job,synthetic_scamshield,job_offer|payment_request|sensitive_info_request,test
ss-000098,Official SBI app se hi login karo. Customer care OTP nahi mangta.,hinglish,safe,safe,synthetic_scamshield,none,validation
ss-000099,Aapke account me 1 rupee pending hai Google Pay. http://192.0.2.10/login pe pay karke 25000 claim karo.,hinglish,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,test
ss-000100,Aapka HDFC account block ho raha hai. OTP share karo aur http://192.0.2.10/login kholo.,hinglish,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000101,"Aapka ICICI ATM card block ho gaya hai, details update kare http://verify-kyc.example.in/update",hinglish,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000102,Aapka SBI account block ho raha hai. OTP share karo aur http://verify-kyc.example.in/update kholo.,hinglish,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000103,ICICI खाता संदिग्ध गतिविधि के कारण बंद होगा। http://192.0.2.10/login पर OTP डालें।,hi,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,test
ss-000104,Your SBI video KYC appointment is booked in the official app only. Ignore other SMS links.,en,safe,safe,synthetic_scamshield,none,train
ss-000105,Your Google Pay payment of Rs 1 failed. Pay the remaining Rs 1 on http://192.0.2.10/login to receive a refund.,en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000106,Meeting moved to 4pm tomorrow in college lab.,en,safe,safe,synthetic_scamshield,none,train
ss-000107,उद्याची परीक्षा सकाळी १० वाजता आहे.,mr,safe,safe,synthetic_scamshield,none,train
ss-000108,"KBC me 25 lakh jeete ho, processing tax http://192.0.2.10/login pe bharo.",hinglish,scam,lottery,synthetic_scamshield,prize_lottery|payment_request|urgency,train
ss-000109,"iPhone free mila hai, Rs 99 http://192.0.2.10/login pe delivery fee do.",hinglish,scam,lottery,synthetic_scamshield,prize_lottery|payment_request|urgency,train
ss-000110,"Aapka email hack ho gaya, password http://verify-kyc.example.in/update pe reset karo.",hinglish,scam,phishing,synthetic_scamshield,suspicious_url|urgency|sensitive_info_request,train
ss-000111,"HDFC se call aayega mat sochna, ATM PIN bata dena. Pehle http://192.0.2.10/login pe verify karo.",hinglish,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000112,"SBI: Rs.250.00 credited to a/c XX12 on 06-Sep. Avl Bal Rs.5,000.00. Do not share OTP.",en,safe,safe,synthetic_scamshield,none,train
ss-000113,Axis अधिकृत संदेश: पिन शेअर करा आणि http://192.0.2.10/login उघडा.,mr,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,validation
ss-000114,तुरंत ICICI केवाईसी पूरा करें वरना आपका खाता ब्लॉक हो जाएगा http://verify-kyc.example.in/update,hi,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000115,"FASTag recharge Axis se ho gaya Rs.1,200.50.",hinglish,safe,safe,synthetic_scamshield,none,train
ss-000116,Collect cashback on Google Pay: enter UPI PIN at http://192.0.2.10/login now.,en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000117,"PNB a/c XX12 se Rs.250.00 debit 01-Sep ko. Dispute ke liye official app use karo, koi link nahi.",hinglish,safe,safe,synthetic_scamshield,none,test
ss-000118,Your Google Pay payment of Rs 1 failed. Pay the remaining Rs 1 on http://verify-kyc.example.in/update to receive a refund.,en,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000119,"SBI: Rs.80.00 debited from a/c XX90 on 28-Jul at POS. If not you, use official SBI app.",en,safe,safe,synthetic_scamshield,none,train
ss-000120,"Instagram account delete ho raha hai, http://verify-kyc.example.in/update pe login karke save karo.",hinglish,scam,social_impersonation,synthetic_scamshield,social_impersonation|payment_request|urgency,train
ss-000121,"Axis व्हिडिओ केवायसी http://192.0.2.10/login वर पूर्ण करा, नाहीतर यूपीआय बंद होईल.",mr,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000122,You won a KBC prize of Rs 25 lakh. Pay processing tax at http://verify-kyc.example.in/update.,en,scam,lottery,synthetic_scamshield,prize_lottery|payment_request|urgency,train
ss-000123,Google Pay वर पैसे अडकले आहेत. UPI पिन http://verify-kyc.example.in/update वर टाका.,mr,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000124,इन्स्टाग्राम अकाउंट बंद होगा। http://verify-kyc.example.in/update पर लॉगिन करो।,hi,scam,social_impersonation,synthetic_scamshield,social_impersonation|payment_request|urgency,train
ss-000125,SBI KYC is already complete. We will never ask you to click a link or share OTP.,en,safe,safe,synthetic_scamshield,none,validation
ss-000126,Thank you for your purchase,hinglish,safe,safe,hf_karanverma19,none,validation
ss-000127,HDFC KYC पूर्ण आहे. लिंक उघडू नका. OTP देऊ नका.,mr,safe,safe,synthetic_scamshield,none,train
ss-000128,Courier: address incomplete. Pay extra freight on http://192.0.2.10/login now.,en,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,train
ss-000129,Thank you for your purchase. Invoice is in your registered email.,en,safe,safe,synthetic_scamshield,none,validation
ss-000130,"Aapka ICICI ATM card block ho gaya hai, details update kare http://192.0.2.10/login",hinglish,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000131,कॉलेज की छुट्टी सोमवार को है।,hi,safe,safe,synthetic_scamshield,none,train
ss-000132,आपका Axis KYC समाप्त हो गया है। खाता बंद होने से पहले http://verify-kyc.example.in/update पर अपडेट करें।,hi,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000133,"Aapka SBI KYC expire ho gaya hai, account block hone se pehle link open karo http://192.0.2.10/login.",hinglish,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000134,झटपट कर्ज मंजूर. फी http://verify-kyc.example.in/update वर भरा.,mr,scam,loan,synthetic_scamshield,loan_offer|payment_request|suspicious_url|urgency,train
ss-000135,Stock tip: guaranteed 40% return this week. Pay advisory fee now.,en,scam,investment,synthetic_scamshield,investment_return|payment_request|urgency,train
ss-000136,"HDFC: UPI is active. Do not share UPI PIN with anyone, including people claiming to be staff.",en,safe,safe,synthetic_scamshield,none,train
ss-000137,"Google Pay payment successful hai, UPI ref [REF].",hinglish,safe,safe,synthetic_scamshield,none,train
ss-000138,"HDFC व्हिडिओ केवायसी http://verify-kyc.example.in/update वर पूर्ण करा, नाहीतर यूपीआय बंद होईल.",mr,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000139,ICICI खाता संदिग्ध गतिविधि के कारण बंद होगा। http://verify-kyc.example.in/update पर OTP डालें।,hi,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000140,"घर बैठे नौकरी, रोज़ ₹2000। रजिस्ट्रेशन फीस http://192.0.2.10/login पर भेजें।",hi,scam,job,synthetic_scamshield,job_offer|payment_request|sensitive_info_request,validation
ss-000141,ICICI अधिकृत संदेश: पिन शेअर करा आणि http://192.0.2.10/login उघडा.,mr,scam,bank_impersonation,synthetic_scamshield,bank_impersonation|otp_request|urgency|suspicious_url,train
ss-000142,रिफंड मिळवण्यासाठी http://192.0.2.10/login वर पेमेंट कन्फर्म करा.,mr,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000143,"आपका बैंक खाता सत्यापन लंबित है, कृपया तुरंत अपडेट करें immediately",hinglish,scam,bank_impersonation,hf_karanverma19,urgency|bank_impersonation,train
ss-000144,"Aapka KYC expire ho gaya hai, turant link kholo http://192.0.2.10/login nahi to banking ruk jayegi.",hinglish,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000145,Amazon customer care: your order failed. Call this number and share OTP.,en,scam,customer_care,synthetic_scamshield,customer_care|otp_request|bank_impersonation,train
ss-000146,Work from home: Rs 1500/day. Pay Rs 499 registration at http://192.0.2.10/login.,en,scam,job,synthetic_scamshield,job_offer|payment_request|sensitive_info_request,train
ss-000147,ICICI KYC पूर्ण आहे. लिंक उघडू नका. OTP देऊ नका.,mr,safe,safe,synthetic_scamshield,none,train
ss-000148,पार्सल कस्टम्स मध्ये अडकले. ₹35 http://192.0.2.10/login वर भरा.,mr,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,train
ss-000149,"दवाई लेना मत भूलना, लिंक नहीं भेज रहा।",hi,safe,safe,synthetic_scamshield,none,train
ss-000150,आपको Paytm पर ₹25000 मिले हैं। क्रेडिट के लिए UPI पिन http://verify-kyc.example.in/update पर दर्ज करें।,hi,scam,upi_payment,synthetic_scamshield,payment_request|otp_request|suspicious_url|urgency,train
ss-000151,Urgent: complete HDFC video KYC on http://verify-kyc.example.in/update to keep UPI active.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000152,"Light bill official app se paid hai, koi link nahi hai.",hinglish,safe,safe,synthetic_scamshield,none,train
ss-000153,Urgent: complete SBI video KYC on http://192.0.2.10/login to keep UPI active.,en,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000154,"Bank of Baroda: Rs.3,499.00 debited from a/c XX33 on 06-Sep at POS. If not you, use official Bank of Baroda app.",en,safe,safe,synthetic_scamshield,none,validation
ss-000155,"HDFC: Rs.3,499.00 debited from a/c XX33 on 06-Sep at POS. If not you, use official HDFC app.",en,safe,safe,synthetic_scamshield,none,validation
ss-000156,Package held at hub. Share OTP and pay cash-on-hold fee.,en,scam,delivery,synthetic_scamshield,delivery_threat|payment_request|suspicious_url,validation
ss-000157,आपका HDFC KYC समाप्त हो गया है। खाता बंद होने से पहले http://192.0.2.10/login पर अपडेट करें।,hi,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000158,"Lucky draw winner, bank details aur OTP share karo prize ke liye.",hinglish,scam,lottery,synthetic_scamshield,prize_lottery|payment_request|urgency,test
ss-000159,HDFC KYC pending hai. Jaldi http://192.0.2.10/login pe update karo warna account band ho jayega.,hinglish,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000160,"You are selected for instant loan approval, click to proceed jaldi kare",hinglish,scam,loan,hf_karanverma19,urgency|suspicious_url|loan,train
ss-000161,"ICICI व्हिडिओ केवायसी http://192.0.2.10/login वर पूर्ण करा, नाहीतर यूपीआय बंद होईल.",mr,scam,kyc,synthetic_scamshield,urgency|kyc_language|account_block_threat|suspicious_url,train
ss-000162,Google is hiring data entry. WhatsApp your Aadhaar and bank details.,en,scam,job,synthetic_scamshield,job_offer|payment_request|sensitive_info_request,train
ss-000163,"ICICI helpline se call hai, ATM PIN verify karna hai abhi.",hinglish,scam,customer_care,synthetic_scamshield,customer_care|otp_request|bank_impersonation,train
ss-000164,बिजली बिल आधिकारिक ऐप से चुकाया गया। कोई लिंक नहीं है।,hi,safe,safe,synthetic_scamshield,none,train
